 --------------------------------------- ----------------------------------------------------------- --------- ---------------- 
  Package                                 Name                                                        Status    Version         
  Other                                   Font Awesome (fontawesome)                                  Enabled   8.x-2.12        
  Statistics                              Google Analytics (google_analytics)                         Enabled   8.x-2.4         
  Group                                   Group (group)                                               Enabled   8.x-1.0-rc2     
  Group                                   Group Node (gnode)                                          Enabled   8.x-1.0-rc2     
  Spam control                            Honeypot (honeypot)                                         Enabled   8.x-1.29        
  Media                                   Imce File Manager (imce)                                    Enabled   8.x-1.7         
  Lightweight Directory Access Protocol   LDAP Authentication (ldap_authentication)                   Enabled   8.x-3.0-beta5   
  Lightweight Directory Access Protocol   LDAP Help (ldap_help)                                       Enabled   8.x-3.0-beta5   
  Lightweight Directory Access Protocol   LDAP Servers (ldap_servers)                                 Enabled   8.x-3.0-beta5   
  Lightweight Directory Access Protocol   LDAP Users (ldap_user)                                      Enabled   8.x-3.0-beta5   
  SEO                                     Metatag (metatag)                                           Enabled   8.x-1.8         
  Other                                   Pathauto (pathauto)                                         Enabled   8.x-1.4         
  Spam control                            reCAPTCHA (recaptcha)                                       Enabled   8.x-2.4         
  Login Redirection                       Redirect After Login (redirect_after_login)                 Enabled   8.x-2.5         
  Security                                Security Review (security_review)                           Enabled                   
  Other                                   Token (token)                                               Enabled   8.x-1.5         
  Other                                   URL Redirect (url_redirect)                                 Enabled   8.x-2.61        
  Views                                   Views Data Export (views_data_export)                       Enabled   8.x-1.0-beta1   
  Webform                                 Webform Bootstrap (webform_bootstrap)                       Enabled   8.x-5.2         
  Webform Demo                            Webform Demo: Event Registration System                     Enabled   8.x-5.2         
                                          (webform_demo_event_registration)                                                     
  Webform                                 Webform Node (webform_node)                                 Enabled   8.x-5.2         
  Webform                                 Webform Scheduled Email Handler (webform_scheduled_email)   Enabled   8.x-5.2         
  Webform                                 Webform Shortcuts (webform_shortcuts)                       Enabled   8.x-5.2         
  Webform                                 Webform Submission Log (webform_submission_log)             Enabled   8.x-5.2         
  Webform                                 Webform UI (webform_ui)                                     Enabled   8.x-5.2         
  Webform                                 Webform (webform)                                           Enabled   8.x-5.2         
  Webform                                 Webform views (webform_views)                               Enabled   8.x-5.0-alpha6  
  Custom                                  EventsReg (eventsreg)                                       Enabled   1               
  Other                                   Embedded Google Documents Viewer (gdoc_field)               Enabled   8.x-1.1         
  Webform                                 Webform Mass Email (webform_mass_email)                     Enabled   8.x-1.0-beta5   
  Core                                    Bartik (bartik)                                             Enabled   8.6.14          
  Core                                    Classy (classy)                                             Enabled   8.6.14          
  Core                                    Seven (seven)                                               Enabled   8.6.14          
  Core                                    Stable (stable)                                             Enabled   8.6.14          
  Bootstrap                               Bootstrap (bootstrap)                                       Enabled   8.x-3.17        
  Bootstrap                               CCT (Bootstrap Sub-theme) (cct)                             Enabled                   
 --------------------------------------- ----------------------------------------------------------- --------- ---------------- 
